hour_of_day,avg_rev_per_mile,median_rev_per_mile,trip_count
0,16.772680027208132,9.7351598173516,75189
1,17.49994949777398,10.058823529411766,50449
2,17.144570534952827,9.94475138121547,34957
3,18.729975744272792,9.527777777777777,22934
4,19.087922891137755,8.214651389566065,15262
5,21.474434251402922,7.842057855534384,17480
6,16.14951210450273,8.689922480620156,39393
7,15.080289827092935,10.066666666666666,80840
8,16.32382300309077,11.392857142857142,113473
9,16.4066056179075,11.666666666666666,125572
10,16.322558918339933,11.696428571428573,135390
11,18.001559568186877,12.03125,146705
12,17.269666460351974,12.0,159860
13,17.339944417802407,11.885906040268457,165291
14,17.94740410737708,11.844155844155843,177955
15,17.97171755291498,11.838926174496645,183938
16,19.91226197374405,12.657534246575343,184886
17,18.359725191555995,13.046875,200199
18,17.972842857536378,12.904522613065327,206210
19,18.217287424973822,12.263736263736263,178757
20,16.92212112066819,11.0,155502
21,15.571586930723981,10.54054054054054,155856
22,16.45832622739413,10.262068965517242,138192
23,17.17605599347828,9.6625,104581
